,neighborhood,date,type,x,y
17583,east_village,2018-01-24,Structure,6284597.21014001,1840708.8765416301
17584,east_village,2018-01-24,Structure,6284598.402497248,1840707.5133911876
17585,east_village,2018-01-24,Structure,6285177.426138803,1840317.3901034184
17586,east_village,2018-01-24,Structure,6282774.97277272,1840897.9078187686
17587,east_village,2018-01-24,Structure,6282774.965235642,1840896.470732803
17588,east_village,2018-01-24,Structure,6282774.02522228,1840901.5393359952
17589,east_village,2018-01-24,Structure,6282778.239881567,1840902.0860509772
17590,east_village,2018-01-24,Structure,6282773.391842565,1840901.3752165097
17591,east_village,2018-01-24,Structure,6282611.972123808,1840772.2624300453
17592,east_village,2018-01-24,Structure,6282611.7732125735,1840779.754972641
17593,east_village,2018-01-24,Structure,6282612.490809223,1840775.9509588627
17594,east_village,2018-01-24,Structure,6282615.683325348,1840776.5980002978
17595,east_village,2018-01-24,Structure,6282335.665043511,1840418.3885551016
17596,east_village,2018-01-24,Structure,6282335.462360405,1840420.578975177
17597,east_village,2018-01-24,Individual,6282771.5131005095,1840762.949426436
17598,east_village,2018-01-24,Individual,6282765.415973948,1840767.257108599
17599,east_village,2018-01-24,Individual,6282772.913221276,1840763.8922640802
17600,east_village,2018-01-24,Structure,6284780.82217483,1840192.7788385805
17601,east_village,2018-01-24,Structure,6284774.073503632,1840192.816224478
17602,east_village,2018-01-24,Structure,6284775.650798753,1840189.0864763588
17603,east_village,2018-01-24,Structure,6283803.624986874,1840953.3763238692
17604,east_village,2018-02-21,Individual,6282367.317142111,1840715.73264404
17605,east_village,2018-02-21,Individual,6282901.622796524,1840361.4642920922
17606,east_village,2018-02-21,Individual,6282205.851000024,1840170.858182924
17607,east_village,2018-02-21,Individual,6283265.693184748,1840169.1265953649
17608,east_village,2018-02-21,Individual,6283741.405036617,1840400.909642957
17609,east_village,2018-02-21,Individual,6283255.755264244,1839940.001020569
17610,east_village,2018-02-21,Structure,6285208.662370163,1839975.1167897622
17611,east_village,2018-02-21,Individual,6285190.236970227,1840124.7827706465
17612,east_village,2018-02-21,Individual,6285191.97415521,1840126.4923797944
17613,east_village,2018-02-21,Structure,6284887.810555815,1840172.460078332
17614,east_village,2018-02-21,Structure,6284887.994499246,1840175.1716700746
17615,east_village,2018-02-21,Individual,6284777.8661535885,1840155.9453596831
17616,east_village,2018-02-21,Individual,6284416.884001021,1839956.0176385422
17617,east_village,2018-02-21,Individual,6284419.095436777,1839955.598258469
